TransactionID,CustomerID,ProductID,SaleDate,SaleTimestamp,Quantity,TotalAmount
T000001,C0029,P079,2024-01-14,2024-01-14 05:47:51.133312,3,1024.59
T000002,C0214,P086,2025-02-01,2025-02-01 23:15:20.477619,5,706.2
T000003,C0046,P093,2024-10-26,2024-10-26 18:41:16.560284,4,1195.4
T000004,C0091,P027,2024-03-23,2024-03-23 15:03:43.118982,3,512.85
T000005,C0153,P100,2025-03-27,2025-03-27 20:48:16.763391,3,491.61
T000006,C0466,P055,2024-11-19,2024-11-19 06:35:21.287458,3,1340.4
T000007,C0067,P094,2024-01-21,2024-01-21 21:20:18.613454,2,179.0
T000008,C0014,P010,2023-10-28,2023-10-28 04:31:36.582233,1,142.86
T000009,C0422,P069,2023-06-01,2023-06-01 10:03:06.649105,1,449.46
T000010,C0163,P051,2023-08-07,2023-08-07 00:08:03.620150,5,1195.3
T000011,C0144,P015,2023-10-27,2023-10-27 16:22:33.098536,4,180.76
T000012,C0280,P080,2024-09-22,2024-09-22 20:16:09.220698,2,36.28
T000013,C0376,P054,2023-05-29,2023-05-29 16:03:50.002991,2,860.0
T000014,C0245,P056,2024-12-20,2024-12-20 13:57:44.175558,2,524.9
T000015,C0151,P007,2024-04-27,2024-04-27 16:24:10.005663,5,150.2
T000016,C0381,P072,2024-01-08,2024-01-08 15:40:20.450869,5,2164.25
T000017,C0083,P021,2025-03-04,2025-03-04 07:12:27.008671,2,450.78
T000018,C0317,P055,2023-05-06,2023-05-06 11:30:58.478830,3,1340.4
T000019,C0309,P092,2024-08-02,2024-08-02 13:44:16.786327,3,164.94
T000020,C0067,P031,2024-07-05,2024-07-05 13:21:48.583843,2,312.2
T000021,C0276,P083,2024-07-10,2024-07-10 17:43:55.189414,4,456.96
T000022,C0110,P010,2025-04-10,2025-04-10 02:03:19.354265,2,285.72
T000023,C0089,P033,2024-05-14,2024-05-14 19:31:02.445237,5,2125.05
T000024,C0379,P060,2024-03-03,2024-03-03 05:00:50.196322,1,92.96
T000025,C0070,P080,2024-03-01,2024-03-01 18:45:29.832855,3,54.42
T000026,C0361,P040,2024-06-14,2024-06-14 09:13:32.885174,5,399.05
T000027,C0263,P073,2025-03-30,2025-03-30 04:27:06.346539,3,127.62
T000028,C0045,P072,2024-12-13,2024-12-13 18:20:00.800723,3,1298.55
T000029,C0306,P008,2025-02-22,2025-02-22 06:17:09.609086,5,1017.35
T000030,C0121,P016,2024-02-06,2024-02-06 06:52:27.994620,2,650.4
T000031,C0344,P044,2024-12-30,2024-12-30 15:49:08.236941,1,463.49
T000032,C0312,P075,2024-01-21,2024-01-21 08:48:36.006261,4,1597.12
T000033,C0343,P007,2025-04-19,2025-04-19 23:17:15.917857,5,150.2
T000034,C0058,P082,2024-06-21,2024-06-21 17:22:13.405634,2,229.24
T000035,C0358,P086,2023-08-27,2023-08-27 08:50:08.387148,3,423.72
T000036,C0144,P007,2023-10-28,2023-10-28 23:40:12.989714,2,60.08
T000037,C0383,P085,2024-12-04,2024-12-04 14:37:27.370262,1,406.18
T000038,C0309,P084,2023-08-16,2023-08-16 23:53:06.816776,2,398.94
T000039,C0059,P060,2024-03-25,2024-03-25 18:31:36.611722,4,371.84
T000040,C0489,P041,2024-11-01,2024-11-01 17:56:14.030671,4,1610.88
T000041,C0038,P014,2024-11-04,2024-11-04 19:28:55.309105,5,1526.5
T000042,C0456,P066,2025-03-07,2025-03-07 14:57:58.034562,4,1176.64
T000043,C0086,P054,2023-06-19,2023-06-19 14:38:32.249045,4,1720.0
T000044,C0443,P022,2024-04-16,2024-04-16 06:41:19.905779,3,798.51
T000045,C0494,P038,2023-07-13,2023-07-13 18:40:42.995620,5,849.2
T000046,C0409,P015,2024-01-25,2024-01-25 09:51:51.937631,4,180.76
T000047,C0006,P093,2024-10-24,2024-10-24 09:49:57.329490,5,1494.25
T000048,C0045,P003,2025-04-06,2025-04-06 10:46:42.137443,3,662.79
T000049,C0123,P058,2023-08-04,2023-08-04 08:07:00.509596,1,362.84
T000050,C0185,P082,2023-09-25,2023-09-25 02:29:38.494995,5,573.1
T000051,C0419,P054,2023-06-20,2023-06-20 03:20:12.176298,5,2150.0
T000052,C0277,P096,2023-11-17,2023-11-17 05:46:15.971998,1,133.63
T000053,C0334,P096,2024-09-05,2024-09-05 23:11:34.345099,3,400.89
T000054,C0488,P002,2025-01-21,2025-01-21 06:35:57.526825,4,837.96
T000055,C0461,P024,2025-04-08,2025-04-08 23:38:11.926014,5,1289.85
T000056,C0114,P019,2025-03-30,2025-03-30 13:05:49.225245,3,103.56
T000057,C0135,P059,2023-11-23,2023-11-23 04:12:05.138482,2,300.42
T000058,C0211,P024,2024-04-15,2024-04-15 19:52:30.051893,3,773.91
T000059,C0324,P098,2023-05-21,2023-05-21 10:19:27.489977,1,177.94
T000060,C0346,P031,2024-08-25,2024-08-25 02:58:54.250296,5,780.5
T000061,C0275,P053,2024-05-12,2024-05-12 21:27:46.298319,4,1625.8
T000062,C0144,P013,2024-09-26,2024-09-26 10:28:38.307639,2,995.72
T000063,C0391,P043,2025-04-01,2025-04-01 02:28:34.292370,4,59.44
T000064,C0498,P018,2023-06-09,2023-06-09 00:47:18.094518,1,211.98
T000065,C0047,P073,2024-01-18,2024-01-18 09:21:35.285517,2,85.08
T000066,C0308,P047,2024-12-01,2024-12-01 02:46:52.318623,2,102.5
T000067,C0403,P028,2024-05-05,2024-05-05 21:44:56.048802,3,321.96
T000068,C0121,P082,2024-12-01,2024-12-01 02:48:38.518660,4,458.48
T000069,C0100,P076,2024-04-03,2024-04-03 05:03:48.931253,1,38.76
T000070,C0172,P049,2023-12-12,2023-12-12 00:12:55.384914,4,204.28
T000071,C0182,P008,2024-03-26,2024-03-26 00:50:11.044832,4,813.88
T000072,C0432,P007,2023-10-25,2023-10-25 04:32:51.238042,1,30.04
T000073,C0091,P057,2024-07-12,2024-07-12 16:40:58.013646,5,1736.6
T000074,C0342,P097,2024-05-12,2024-05-12 20:55:21.230911,3,1276.68
T000075,C0389,P055,2024-02-24,2024-02-24 16:22:31.575413,1,446.8
T000076,C0151,P018,2023-08-03,2023-08-03 17:42:18.012084,2,423.96
T000077,C0232,P032,2023-12-06,2023-12-06 22:04:26.039986,1,249.28
T000078,C0046,P089,2023-05-11,2023-05-11 21:54:31.417233,5,1094.15
T000079,C0459,P060,2023-05-18,2023-05-18 13:21:45.625202,3,278.88
T000080,C0160,P042,2023-07-17,2023-07-17 01:00:41.516656,1,251.99
T000081,C0073,P024,2024-09-04,2024-09-04 08:05:42.631774,1,257.97
T000082,C0357,P079,2023-06-30,2023-06-30 15:40:08.072565,3,1024.59
